LocationDescription,Condition,Visibility,Drifting,Region,RoadwayName,EncodedPolyline,LastUpdated
From Welland to Port Colborne,No Report,Good,No,CR - Pt Colborne,58,soydGdmxbNeB^{@@u@DeID_D?yHBuOFIGkC?EFkUD{OHqKDig@h@_TDcZ}@ev@?{QGmGi@sSkEoH_B[G_@K}GwA_AUiRcC}VAcSMeD[}E_@cFE,2025-07-14T14:39:52+00:00
From Highway 140 (Welland) to Highway 58 (Welland),No Report,Good,No,CR - Pt Colborne,58A,oteeGdembNuBnn@SbNxB|f@AjLChBKdQA~BG|G_A~U}Clo@{Bhh@AtDEpIEzOCbk@,2025-07-14T14:39:52+00:00
From Highway 140 to Wellington Street - Welland,No Report,Good,No,CR - Pt Colborne,7146,efleGpwlbNd@zN?vKBla@?do@,2025-07-14T14:39:52+00:00
From Fort Erie to Niagara Falls,No Report,Good,No,CR - Bowen Rd,QEW,qp{dGpot`NAJEh@MvZElASxA_FnXg@fEKt@KrA{@nMkBjXCViCl^GdACVAHC|@u@jLSbDqA|P_Dbc@iAvPw@hJkB|K_ChKwBfHyBlFoAlC{AvCyAfC}@r@iF|HcRvS_u@nx@mAtAcFtFaB~AoC`DaIfJaHfJcChD_FfHuVr]}SbYuYf`@eHfKiAfBsC`EmOdUgc@dp@sK|Ou@hAEFW\g@v@}^fj@wAtBCDsBzCiPbVcNfSijAt`BkR`XOTmBlC{PxTgh@pp@kEtFiIlLuuAluBoJtNsGjJu`@dk@sUb\mCvD_IdL_ApAgFnHYb@cL|OiEtFiFnFaCtB}BbBwF~CsD|AcF~A{A^wBb@gEh@{CV{Mh@of@|BoYVae@P}FWqG{@qXcF,2025-07-14T14:40:01+00:00
From Burlington to Oakville,No Report,Good,No,CR - Burlington,QEW,gsggGrh`fNgAf@{IjEgGtCqHrDcIxDkCnAkHlDsB`AgI~DyB`AmAj@{Bt@wEpAu@XgA`@}@`@{@f@iE~CqBzBeBfC[h@aGjKgClEyCtFmApB{EbJaZbj@q@hA}@bBeA~A_B`CoEfFmAjAiEpDQLIHsAhAc@VkBjAkB`AeCjAcBv@aBr@uB~@iD`BcDrAkCl@cAL]B}AHeAAsAGe@CgC_@eBi@gBw@{A}@gBwAiBmBcBcCa@w@i@gAeAgCeGoPIUEOeAsCyFwOwBuFM_@qAkDoC}HaAuCaGiPeAoCiAmC{@mBuCqF}B{DsAsBu@eAqBqCoHmIkN_PuJsKwBeCsGuHyA_BwLmNq^ya@sA{A}KgMW[{\_`@eEuEu_@ub@}WeZwV}XmNsOsVoXoIiJSUwKkMuCaDoTkVi@m@kJiKsH}IgC_DoBeC{G{H{GeH,2025-07-14T14:40:08+00:00
From Highway 403 to Clappison's Corners,No Report,Good,No,CR - Burlington,6,ysdgGxcsfN?@i@j@uCfD}EzFq@p@s@p@k@b@]V_@Rq@Z[JEBo@Ro@Pq@L_@Dq@Da@@y@?cAEi@Gi@Ki@MwAe@UMUKi@[UOg@a@a@]y@y@a@e@e@o@}@}@_AuAcA}A_AoA]a@_@[_@Y_@Oo@Uk@I]Ag@?i@Fc@HQHOFQHGDGBOJWR_@ZSTQTkAtBSXs@jAq@~@s@t@WVi@f@k@j@o@r@_BtBa@j@eBhC?@gAbB}Sr[cDhF{GzKcF~HqEhHcIfMmW|`@gBjCIJ,2025-07-14T14:40:08+00:00
From QEW Eastport to Highway 2,No Report,Good,No,CR - Burlington,7189,abegG~y~eN}FjB}DlAo@To@X]RyBvA[N[Lk@P_C`@MDKFKHIHILGLGNENEPCb@?r@@`@@PF`@?PEt@M^GLGJUTaA~@sAt@]L]J{AP_AC_@E]Gk@Oo@Yk@]YSSOk@Wk@UMAIEcAOcA?cAJUFi@P_EhBWLKBCDaATeANm@Hy@DaAPq@T{@d@IDqGxDg@^q@n@c@r@a@t@_@t@]nA]hAYt@Q\c@h@i@`@u@\_A`@,2025-07-14T14:40:08+00:00
From QEW & 407 Burlington to Highway 6,No Report,Good,No,CR - Burlington,403,mnogGl{ffNj@tAjB~ETj@JZbAhCvApCtAdCtKxOfBbCdCzCp@p@jBdBfFfF~DjEfEpEvC|CrMhNzXbZhXjYtMnNhP~Pv@|@jEzE`BvB`B`CbHnKxHnLbBdC@BrDzFDFjOhYjGrLlQx\dC|ExAjD|@vCx@jDvKdg@n@dC@@p@lCt@pBZp@LT@BNVLRZb@LRTXFHb@d@LNjDrDjGxGz@x@hAjAx@t@n@f@j@^TLVLl@Vn@TVHt@P\F\Dl@Dt@Df@?h@Af@Cf@Ej@Ih@Kj@Ob@ODAh@U`@SbAo@^[jAeAFGHKf@k@bJqKLMHMFEXYf@i@n@i@^W`@SPId@Ul@Uv@Ob@KVCVATCTAzA@`CLVDn@Dl@FdC\f@HhCf@r@J~@J\@n@@|CKdDMbH[dCKjBGzACdA@dBBfCJpERR?n@DlAFpFRhSx@tAFp@BrAFF@\BTBh@H\HB?THf@Nb@Pb@T`@V`@XZTr@r@V\NPTZXb@j@hAPd@N^JXFTFRDPb@rBfAlHrAfJ~@tGR~@DTl@lCv@nCRh@J\d@lA\z@b@~@d@~@bCrFXj@Tj@Vp@BHTl@,2025-07-14T14:40:08+00:00
From Vineland to Burlington,No Report,Good,No,CR - Winona,QEW,g{qfGvxqcN@bCg@fg@o@bg@s@nm@m@~q@eCfjCyBbyB_@`[i@`i@KjJGbMWlSGnFEbG?jGHnm@BhZ?|i@Fhv@K~Q[rHkCh[eD~YgC`SmTlvAoIbk@{CnRoFd]iKrq@iWtcBcChO{Ixk@?@gMnx@kJbq@iDzR_UpzAcBtKuAdJ}BfOALCLsB`NqEtY{BzNk@lDc@xCkElYwDnVsHvf@iDfUwF~^aEzWc@vCy@jFiD|TyApJuEzZEXMv@wInk@sBvMCP_@`CuBdN_AjG_Gf`@{@tFeDlToFz]{@zF_A`G?@{AfKqAlIcDnTyAtJaBpKqC|Qg@hD]xByAtJIl@O|@CPaBrKYnBeAvGgBrLKr@aBrKuAfJ}AdKsBdNqDxUkBlLQvAo@dCSr@m@jBk@nAcBtCqA`B}AzASJsG`EmBjAm]jTKHwFtDuK~GcJvF_Al@{AfA[Z}@n@]V]Z[TYTq@n@YTkAfAu@r@QRURML_@\cKtJyIfImUhT{c@lb@s@n@]\cBvAaAp@a@V]Pi@VoB|@kVdJiEbBkEfBi@TmFfCqB`A{CvAuCvAw[tO_XlMqD~A,2025-07-14T14:40:15+00:00
From Highway 6 to Sunnyridge Road,No Report,Good,No,CR - Duff's Corners,403,ii_gGxzufN^nAPn@\`BZnBj@rDdBtLPbAZtAZhATp@f@nATb@Vd@Tb@p@dAX^v@z@ZZrDpCjDbCbBrAl@f@XZPP~@jAf@v@b@z@R^N^Rd@L\Ph@ZhAHb@Lf@Hf@DZDXXdCFt@Fx@h@~G~Bn\n@dJpCl`@d@hFt@zEhCnLjFbUvC~Ln@nB~AlD\p@rA|An@n@XVjAz@TJZPn@VVLRF^JlAVVDlCNR@RAt@?vHKhA@V@V?hAHd@Ff@F\H\FZHp@T`A\ZLTNlAn@dAr@l@f@`DxCNNLH?@tF`FpBjBFH@?xBpBxDjDhF|Er@n@~BvBdBxApDtCNJ|EpDpFdEtM|JnA`A?@`BjAhK~H~GjFzGfFxJtHxCfCfChCtCjDtC`E`@r@dAfBXd@lA|BlBbEdCpGjBfGpAlFhA`GZbBxA|LlAjNpBzUNdCLfCN~DFlE?r@@r@AzCAp@O|QAtAEdSKbN?rAEfDOxDIbBSrBUnB_@rBWfACF?@aBpFg@zAi@bBo@jBi@hBo@tBe@jB_@~Ay@nEs@|EW`Ck@jHEpBI~CA`EAjBBbEJlDn@zIpAjKxHz_@zKni@jPrx@bD|OtD|QtFjXpI`b@vBhKzElUvA|HjA|H`ApJ^rEf@rJBRXdM@vKs@z[gA`\m@vR?tIb@pK|@hJdAjFXtArA~EzAjExLtZBDnGxOfHvQjAnD`AzDzAnItD|TvE~YxBvM,2025-07-14T14:40:21+00:00
From Haldibrook Road to Highway 403,No Report,Good,No,CR - Duff's Corners,6,oucfGb`{fNuJgDu[uKwc@mOoLaEs^kMiKsDgN}EaEuAcOiFcDvUQz@U`A[`A]x@_@t@u@dAo@l@y@j@aAb@}@V{@HkABqAIwFq@}@Ku@IcEc@cAG{@AkA@}@DcAJiAN}@Ry@VkA`@cAf@gBfAoA`AqAnAq@x@q@|@s@hAm@hAo@pAg@lAs@lBa@|Au@nDCLaDdVs@tFuB`OgIxh@uCtQo@rEOt@Mp@SbAUt@Qn@Ur@Wt@]z@Yn@_@v@_@p@_AzAa@l@c@l@g@j@c@d@k@h@k@d@o@b@s@f@_Aj@ca@`TiB`AwAt@g@R{@^cA^aAZgA\wA\eAX{N|Coe@dKyGvAgBTgAJcAJ}@FyBFqA?kBCy@CiAGqAM_AWkRgAyPsA}CKoAAyA@oADwAFcAH_BPkAPyEz@]ByFjAsEbA_KxB}HdBqKdCYLkGhBeBh@{@\c@T}@f@WR[Vc@`@q@v@uAhB}CtEA@,2025-07-14T14:40:21+00:00
From Highway 5 to Studiman Road,No Report,Good,No,CR - Peter's Corners,8,uidgGjotgNx@zG@^d@zE?B@D?h@AD?BADAB?DABADCFA@?@ABA@ABCBABMLUPCBC@ONABC@ABCBABIHCFCBABCBADABCBABADABCDABAD?BCFCDAFCDADAFSx@AFCJK^s@zC[pAqIx]aFvSw@~Cc@lBQr@YnAYpAYnAQ~@?@EPWnAi@rC}@fFwFl[I`@K^I`@M`@K^M`@K^[~@K^aCnGQ^M^_@bAK^[bAKd@M`@K`@sEzSiKre@}@fEgChLEPwEhQuDbN_BdHABaBfJCLGVGf@SfAOjAId@Eb@If@Gb@Gl@SvAOvAIj@Gj@Ej@OzAQ|Bu@nK{Bd[KdAG`@Cd@G`@I`@Gb@G`@AD?@GXG`@i@|BMd@Oh@Qf@Od@Of@Qf@Qd@i@rAOX]r@OXQXOXQViL`ReAfBSZ_@z@OZO^M\M^O^K^eBzGs@tCuHx[i@zBcIj_@_C|KGVGXIXGXIVIXSn@IXKVcAbDQh@CLKZCLKZCLy\~yAyHp\CLENCLCNELCNABIh@CLcA~F}AfJeG~^?BsEbXCNuOv|@k@~CcArEGVyA`F?@aC`GmM~Vq@`BmAjDeArD}@vD}@nFm@pFOlBSpEIrEInKIvGOzEm@pI_@zDa@nDaAdG{B`LmB`IsDzMwFjR,2025-07-14T14:40:30+00:00
From Clappison's Corners to Peter's Corners,No Report,Good,No,CR - Peter's Corners,5,oljgG||wfNhDfET@zCrDd@l@dI~JjLpN|@hA^j@JLp@nA|@nBj@bBj@vB\fBHn@BJ`@`DdCrW`AzKZzC\~Dj@tFVzClC`YxA|OnA~Ln@tH\nDz@rIlBfS~AvP`ApJd@zFT~BtHjy@zArPdBhRnA~MhBtSnAbMn@jG~BdVd@|EjAbMjBlRxA`OCFTxBPlBT`BRF`@xCPrAtAtJJfAJbADd@D`@NjBBb@RrCBVd@nHv@pMd@rG\`EtApNJhA`Hvs@dClXLlAzDfb@RlBHn@Fj@Hj@p@rDLh@vC~KNh@ZxAZ|AJl@\lCP~AxDrd@`AnL|B|Wr@lIxCzXvChZ\tDx@zGXzB?DBRHh@D\@F@HF^?D@B?J@D?BAB?PAB?BAB?BCF?@CF?@A@?@A?,2025-07-14T14:40:30+00:00
From Trafalgar Road to Highway 6,No Report,Good,No,CR - Morriston,401,u~|hGruffNjHnI|l@zq@fDbEDF|@jAhKhLl^~a@zK|Mt@x@BDFH~K|LdGdHhV~XhCfD|@pAzA~BrBrDrAlC\v@BJ@?FRDFjAtC|AtElCpJfAfFx@jF~@zHx@zIbBtTP`C`BnTb@nFf@|Fd@~DZvB\xBdAfFl@lCb@bBl@zBvC~I~BtGbKnYzBrGlCnHlFpOpGtQ|CxI~ArEpAbE^xAd@hCl@hE\dEdAvQ`InvAb@xEt@~EhB`Hz@~BjCpFpEjIHLp`@fu@zGfMjK|RvAxBdCnDdApA`ClCbBbBhBbBzFfEdXnRj[|TvAlA|A~ArAbBvAvBbAlB~@vBz@|Bf@bBh@zBn@xCj@tENfBNxBd@lLnDzy@j@nFfA~FtAzEbC`G|DxIbEbJJT@DpFzLjGfNxWxl@zE`K~DxJnBbGp@fCvArGrGf^vLrq@@DxV`uAdAhGjAfJn@bILjCT|GzA|cAj@lc@TlI\`Hp@xHt@dGtDvSlL~n@jLnn@h_@vrB`TrjAzE|VpArFxBlIh@dBdCrFzCjJvBtG,2025-07-14T14:40:38+00:00
From Clappison's Corners to Highway 401,No Report,Good,No,CR - Morriston,6,oljgGb|wfNINuFpIA\sGtJmJrNqDpFcDbFmF|HO@W^a@n@CVkKtOOTMTQTMRi@x@EDOTMTOPeJfOsS|[eSvZQXoAfBcP`VsQpXqBzC_SxZyEbHSDe@p@oCbEATeD|E{RvYsHzK{M`ScD`FgKlOa@n@mQdXqSb[yRbZuIjMoH~Kg@v@gMfRoS|ZiBjCoIbMeIrLUDc@l@kFzHC\kJ`N}JvNqT|[}K`PmDdFoAjBqKfPsK~OgG`JwAnB{@fAyCnDQRONc@f@QNQRQNQRQPQNyHlHYVYXs@v@iAtAW\WZU^_BdCkBxC}PtXkMxSwO~VkD|Fg@x@Wh@k@rAQj@Sj@Ol@Qj@Mp@Ol@Kp@}AhL]dCKr@Mp@Mn@Op@c@~AQl@Sj@Uj@Wj@S^Q`@U\U^U\UZSTCDYXUVYVONuHhHkRtQWVUZUVUXSZSXSZSXS\SZg@~@S`@Qb@u@dBQb@_@fAWx@oFtPMXK\MXOZMXMZOXOZMXOV{EjJUd@Sh@Uh@g@rASj@Qh@Sj@c@vA}@zCoHlVIXoEbOw@fCK^eDrKgGnTkD~KmDdMeBrG]nAsAdFED}@lD_@x@oCbI_A`BkD|FcEfGcFpHuKrPwBxCaAhAeA|@mJhHiC`CgClC}D~E_DzEqQ`\iC~EuA|Bm@xA}EbIs@fAiEfHiHxLy@vA]t@S^[n@k@`A,2025-07-14T14:40:38+00:00
From Highway 400 to Trafalgar Road,No Report,Good,No,CR - 401 & 10,401,{jyiGdcjdNRfE@Jr@nOd@`ITnCVlCPtAHt@pFp`@vDdWBT@@|G|d@NfAdJjm@TfBRpAXdBn@~CDPFPFR\fAVt@h@vAP\h@hAj@dAl@dAn@|@Z`@b@h@x@z@dDrCl@f@nBdBjGvFdB~AzPrNHHJH^Z`I~GdVrSvBhBlHfG|BhB`C`BBBRLVNHDv@f@jAp@t@`@t@\`@PfAh@nAh@lMjGtFtCfGzCpFjCbHnCnJ`EpFzBhInDdCdATLNDRHj@VRJh@Xf@ZRN`@T^Tn@f@^\^`@PJn@j@x@x@TVl@n@~@lAh@t@z@rAR\T\p@nAJPd@|@?@f@dAN^P^JXTl@`ApCZhAFPDRt@pCX|@hBdHFXxA~FBDv@tCx@|Ch@tBTz@?@FX`HfY`Mdf@bG|TxDnMTr@bCpHrChInDpJ|FdNzJrTpIhRvC~Gl@vAdHfQtEbMnGzQpExNrF`RDJ?BDNrPdl@fSpq@Xx@jDlLFV|Ib[Nf@Nd@Pn@@@^hAV|@XfAVz@vA~EjErQTj@v@dCvC`Jt@`C`N|e@jCbJtKd_@zB|HHTDPFNfd@b~AhFlQfElNhEnOFPDPFN?@ZfAlChJnKr^tNxf@xUny@pCnJX|@fDnLX~@vIbZd@bB|Jx\dApD?@Nf@~CtKhAtDx@nDdAhFh@rC`@zCp@|FVdDRpDBZZ~H?r@lA`^NpE\lN`B`c@xA~d@|@jU~Adf@?D@`@HrBLxCXzEt@vH^rCb@pCf@pCh@lCv@hD`ApDv@fCr@pBfAtC^`A\x@^x@Td@vDvGfBnCr@`AjAzA~@hAzEtFfSzU|IdKl@r@`@b@|SfVbFbGnFdG~IdKzI~JdHlIdb@hf@lC~C,2025-07-14T14:40:45+00:00
From Highway 401 to Highway 10,No Report,Good,No,CR - 401 & 10,410,{hjiGlseeNIL{@zAeCzDm@`A}RfYsF|HeP~UcItLgGzIcAbBoDjFY`@IJSZib@fn@qStZkAxAINKNo@fAyAtBeKpO_IdLgJ`NaBvBqChEABY^CDWXCDm@x@_BrBgClCaD|BqDvBwB|@wDrAkA`@A?_L|DoDbAuFvByJnDoEnByC`Bw@f@{@d@sItHoB|ByBrC{@lAKNGJqCzDaT~ZiF|HKLkd@dq@Yb@aLtPaLpPMPs@jAiFpHgHbLeEjGIPMRKRKPiNrSyLbRqLbQ_@l@}AxBwMhSW\KLILCBkKtO}CnEMXYd@wVt^iH`LeCfD}CpDMLSPw@v@oAhAyKjIiNhKcHfFgNhR}TvZIJgBbC}K~O_FhGsDrEcOlNcNxJmAx@A?s[bUo@d@gDtCaEdFkBjDkC`HkAxFa@rEUpCQlCChED|CJnBzAnMzAbGpCxGpK|P~KjSjLfWzFjNnClHxF`MvFtI~F|HlCzDtCjHxA|KBh@,2025-07-14T14:40:45+00:00
From Mississauga to Hwy 401 & Hwy 410,No Report,Good,No,CR - 401 & 10,403,_hjiGpveeNRYXc@vAsBNUbEeGx@oA|@mAx@oApDkFx@kA|EiHt@eAvFyIxCiExEmHpEmGHOr[{d@jN_TlAcChDkGHMpAyBnByCbCeDh@y@tCeCtB{Af@UPGhCiA`A]nBi@zBYn@EjAEt@?|AH|AL|@Lx@RLBf@H`A^~@\v@`@v@j@z@h@r@j@`A|@fAlA|A|AvFjGnCvCf@d@PRnT|UnTbVd@j@HHLNzPbRd[p\bHxH|NfPVVtFlFlItJhBhBxL|Mjf@hh@~CxC|KpJpKrIzC|BBBpFrE~AlAdBxAlCxBdChBxBtB`BxA`D|CdCfC|BjCfBvB~AfB\b@bAxAz@lAlBtC`CxDrAzBT^j@dA`DdGtB~D`BbDrBhEpChFnAtB|DtHxErI|CnFxAbCRZ,2025-07-14T14:40:45+00:00
From Peel Rd 14 to Orangeville,No Report,Good,No,CR - Caledon,10,mf~iGzcgfNH|CI|DWhCyAhFsAlDS^gCbE_DxE_CnDKh@{@jAa`@rj@oDdFmb@`o@a]fg@sH~KqWz_@}Sn[oIlMoGlJA@}gA|`B{CpEgCvDgCxDyd@lr@eHpLeGvJeW|^yDhGgKrOiJpNsI~MyB`DoExGaLfP}Tn\ak@lz@aBzBcNhSy^li@oLfRuVx^yJrNqJzNgE`G_IjLuOlU{DdGwF|IgCxDaPpVaDzE_H`KqE|GuK`PgIxLqH~KgE~FsClE}C~EW^}A~B_E`GmDjFcBtCILqBtCc@n@{A`CoAhB_HlJkF`IaEbGcIxLc@h@MPcMnRwLvQ_MpRgRxXy`@xl@{FdJoDdF_AlAuHfLoJ~NcHlKqGpJmGtJiGfJqC`EoH`LmCfE{IrNST}@tAmBrCU^e@p@KLwNlTEHyK|PsJnNu@lAA@]f@oGrJ}ItM}GfKqGfK_LlPoBlDOZsDzJ?@,2025-07-14T14:40:53+00:00
